frame,p1_x_mog2,p1_y_mog2,p2_x_mog2,p2_y_mog2,ball_x_mog2,ball_y_mog2,p1_x_yolo,p1_y_yolo,p2_x_yolo,p2_y_yolo,ball_x_yolo,ball_y_yolo
163,431.4276428222656,316.41302490234375,190.9140167236328,1904.134033203125,125.53984069824219,1839.0372314453125,409.9697265625,440.83941650390625,186.2442169189453,1875.980712890625,,
164,431.4276428222656,316.41302490234375,195.0111541748047,1906.1953125,128.90628051757812,1801.78125,408.52679443359375,447.16119384765625,192.6875,1886.810302734375,,
165,431.4276428222656,316.41302490234375,198.8089141845703,1914.6402587890625,133.2336883544922,1763.1700439453125,408.52679443359375,447.16119384765625,196.02593994140625,1888.9224853515625,,
166,431.4276428222656,316.41302490234375,203.65750122070312,1916.6649169921875,137.71945190429688,1723.14599609375,405.9247131347656,440.93701171875,200.47613525390625,1895.3399658203125,,
167,431.4276428222656,316.41302490234375,212.39634704589844,1918.60986328125,433.587158203125,585.187255859375,404.576416015625,440.96954345703125,204.11184692382812,1901.7325439453125,,
168,431.4276428222656,316.41302490234375,218.14366149902344,1922.7139892578125,480.31719970703125,394.4815979003906,404.48907470703125,447.258544921875,206.78465270996094,1905.9669189453125,449.9114685058594,555.60546875
169,431.4276428222656,316.41302490234375,220.75987243652344,1926.861328125,481.2236328125,445.4083251953125,404.48907470703125,447.258544921875,209.59925842285156,1912.30810546875,,
170,221.6759033203125,1928.93603515625,95.1478500366211,2091.06982421875,536.7544555664062,245.0032958984375,404.48907470703125,447.258544921875,209.90420532226562,1916.5439453125,,
171,222.0916748046875,1935.1793212890625,95.1478500366211,2091.06982421875,,,405.8349914550781,447.2261047363281,210.83624267578125,1918.64013671875,446.9053039550781,664.0049438476562
172,221.73361206054688,1941.3990478515625,95.1478500366211,2091.06982421875,457.45172119140625,607.6196899414062,406.9975280761719,459.7044677734375,212.54559326171875,1920.716796875,447.0934143066406,702.1849365234375
173,221.87156677246094,1943.458740234375,95.1478500366211,2091.06982421875,449.1164245605469,674.95458984375,407.08905029296875,453.46026611328125,212.54559326171875,1920.716796875,444.8104553222656,739.5433349609375
174,222.7789306640625,1945.4993896484375,95.1478500366211,2091.06982421875,444.01171875,723.6796264648438,405.74554443359375,453.4926452636719,213.6207733154297,1924.902587890625,,
175,223.68443298339844,1947.535888671875,95.1478500366211,2091.06982421875,,,405.74554443359375,453.4926452636719,215.17604064941406,1924.8724365234375,443.733154296875,821.6953125
176,225.99114990234375,1947.491455078125,95.1478500366211,2091.06982421875,,,403.05859375,453.557373046875,227.10841369628906,1928.8310546875,442.6217041015625,861.225341796875
177,229.06683349609375,1947.4322509765625,95.1478500366211,2091.06982421875,,,401.7973327636719,447.3234558105469,245.07424926757812,1930.5721435546875,442.98175048828125,890.1956176757812
178,232.91151428222656,1947.358154296875,95.1478500366211,2091.06982421875,,,400.45147705078125,447.35589599609375,245.96337890625,1932.638916015625,,
179,237.40365600585938,1945.2176513671875,95.1478500366211,2091.06982421875,,,399.1056213378906,447.3883361816406,248.8403778076172,1928.4111328125,,
180,243.56185913085938,1945.0989990234375,95.1478500366211,2091.06982421875,,,397.7597961425781,447.4208068847656,246.51181030273438,1928.4561767578125,,
181,250.4901123046875,1944.9654541015625,95.1478500366211,2091.06982421875,,,397.7597961425781,447.4208068847656,255.05007934570312,1928.2911376953125,,
182,255.8789825439453,1944.8616943359375,95.1478500366211,2091.06982421875,,,397.6848449707031,453.68682861328125,258.155029296875,1928.231201171875,,
